Price,Dell Technologies,Semiconductor ETF,NASDAQ Composite,Tech Sector ETF,Copper Futures,Crude Oil,USD Index,10Y Yield,Volatility Index,Consumer Discretionary ETF,Industrial ETF,Transport ETF
Ticker,DELL,SMH,^IXIC,XLK,HG=F,CL=F,DX-Y.NYB,^TNX,^VIX,XLY,XLI,IYT
Date,,,,,,,,,,,,
2020-01-02,24.481901168823242,69.92044067382812,9092.1904296875,88.94721984863281,2.8329999446868896,61.18000030517578,96.8499984741211,1.8819999694824219,12.470000267028809,121.00402069091797,75.9322280883789,46.198429107666016
2020-01-03,23.676603317260742,68.77507781982422,9020.76953125,87.94715881347656,2.7985000610351562,63.04999923706055,96.83999633789062,1.7879999876022339,14.020000457763672,119.97427368164062,75.785888671875,45.87971115112305
2020-01-06,23.91537857055664,68.04048919677734,9071.4697265625,88.15669250488281,2.80049991607666,63.27000045776367,96.66999816894531,1.8109999895095825,13.850000381469727,120.30799102783203,75.81331634521484,45.605533599853516
2020-01-07,23.316089630126953,69.17620086669922,9068.580078125,88.11858367919922,2.803999900817871,62.70000076293945,96.9800033569336,1.8270000219345093,13.789999961853027,120.11730194091797,75.65782165527344,45.76490020751953
2020-01-08,23.409730911254883,69.29218292236328,9129.240234375,89.0615234375,2.819000005722046,59.61000061035156,97.30000305175781,1.8739999532699585,13.449999809265137,120.4796142578125,75.9139404296875,46.142181396484375
2020-01-09,23.231815338134766,69.68846893310547,9203.4296875,90.0710678100586,2.810499906539917,59.560001373291016,97.44999694824219,1.8580000400543213,12.539999961853027,121.11843872070312,76.23410034179688,46.35074996948242
2020-01-10,23.180315017700195,69.1085433959961,9178.8603515625,89.86154174804688,2.81850004196167,59.040000915527344,97.36000061035156,1.8250000476837158,12.5600004196167,120.4605484008789,75.69439697265625,46.11875534057617
2020-01-13,23.33013916015625,70.0750961303711,9273.9296875,90.98541259765625,2.8615000247955322,58.08000183105469,97.3499984741211,1.8480000495910645,12.319999694824219,120.84192657470703,76.3164291381836,46.50541305541992
2020-01-14,23.812381744384766,70.22007751464844,9251.330078125,90.55681610107422,2.875999927520752,58.22999954223633,97.37000274658203,1.8179999589920044,12.390000343322754,120.80377960205078,76.32559204101562,46.931922912597656
2020-01-15,23.69065284729004,69.18103790283203,9258.7001953125,90.66158294677734,2.869999885559082,57.810001373291016,97.2300033569336,1.7879999876022339,12.420000076293945,120.52727508544922,76.4444808959961,47.05144119262695
2020-01-16,24.0371150970459,70.29740142822266,9357.1298828125,91.88069152832031,2.8519999980926514,58.52000045776367,97.31999969482422,1.809000015258789,12.319999694824219,121.6047134399414,77.20372772216797,47.53185272216797
2020-01-17,23.56891632080078,70.58735656738281,9388.9404296875,92.49976348876953,2.8494999408721924,58.540000915527344,97.61000061035156,1.8359999656677246,12.100000381469727,122.03375244140625,77.21287536621094,47.4029541015625
