Price,Volatility Index
Ticker,^VIX
Date,
2020-01-02,12.470000267028809
2020-01-03,14.020000457763672
2020-01-06,13.850000381469727
2020-01-07,13.789999961853027
2020-01-08,13.449999809265137
2020-01-09,12.539999961853027
2020-01-10,12.5600004196167
2020-01-13,12.319999694824219
2020-01-14,12.390000343322754
2020-01-15,12.420000076293945
2020-01-16,12.319999694824219
2020-01-17,12.100000381469727
2020-01-21,12.850000381469727
2020-01-22,12.90999984741211
2020-01-23,12.979999542236328
2020-01-24,14.5600004196167
2020-01-27,18.229999542236328
2020-01-28,16.280000686645508
2020-01-29,16.389999389648438
2020-01-30,15.489999771118164
2020-01-31,18.84000015258789
2020-02-03,17.969999313354492
2020-02-04,16.049999237060547
2020-02-05,15.149999618530273
2020-02-06,14.960000038146973
2020-02-07,15.470000267028809
2020-02-10,15.039999961853027
2020-02-11,15.180000305175781
2020-02-12,13.739999771118164
2020-02-13,14.149999618530273
2020-02-14,13.680000305175781
2020-02-18,14.829999923706055
2020-02-19,14.380000114440918
2020-02-20,15.5600004196167
2020-02-21,17.079999923706055
2020-02-24,25.030000686645508
2020-02-25,27.850000381469727
2020-02-26,27.559999465942383
2020-02-27,39.15999984741211
2020-02-28,40.11000061035156
2020-03-02,33.41999816894531
2020-03-03,36.81999969482422
2020-03-04,31.989999771118164
2020-03-05,39.619998931884766
2020-03-06,41.939998626708984
2020-03-09,54.459999084472656
2020-03-10,47.29999923706055
2020-03-11,53.900001525878906
2020-03-12,75.47000122070312
2020-03-13,57.83000183105469
2020-03-16,82.69000244140625
2020-03-17,75.91000366210938
2020-03-18,76.44999694824219
2020-03-19,72.0
2020-03-20,66.04000091552734
2020-03-23,61.59000015258789
2020-03-24,61.66999816894531
2020-03-25,63.95000076293945
2020-03-26,61.0
2020-03-27,65.54000091552734
2020-03-30,57.08000183105469
2020-03-31,53.540000915527344
2020-04-01,57.060001373291016
2020-04-02,50.90999984741211
2020-04-03,46.79999923706055
2020-04-06,45.2400016784668
2020-04-07,46.70000076293945
2020-04-08,43.349998474121094
2020-04-09,41.66999816894531
2020-04-13,41.16999816894531
2020-04-14,37.7599983215332
2020-04-15,40.84000015258789
2020-04-16,40.11000061035156
2020-04-17,38.150001525878906
2020-04-20,43.83000183105469
2020-04-21,45.40999984741211
2020-04-22,41.97999954223633
2020-04-23,41.380001068115234
